iter	Passed	Remaining
873	3679	530
874	3683	526
875	3686	521
876	3689	517
877	3693	513
878	3696	508
879	3699	504
880	3702	500
881	3705	495
882	3708	491
883	3712	487
884	3716	482
885	3719	478
886	3723	474
887	3726	469
888	3729	465
889	3732	461
890	3736	457
891	3739	452
892	3742	448
893	3746	444
894	3749	439
895	3753	435
896	3756	431
897	3760	427
898	3763	422
899	3767	418
900	3770	414
901	3774	410
902	3777	405
903	3780	401
904	3783	397
905	3787	392
906	3791	388
907	3794	384
908	3797	380
909	3800	375
910	3804	371
911	3808	367
912	3811	363
913	3814	358
914	3817	354
915	3820	350
916	3823	346
917	3827	341
918	3830	337
919	3834	333
920	3837	329
921	3840	324
922	3843	320
923	3846	316
924	3849	312
925	3853	307
926	3857	303
927	3860	299
928	3863	295
929	3866	291
930	3870	286
931	3873	282
932	3876	278
933	3879	274
934	3883	269
935	3886	265
936	3889	261
937	3892	257
938	3895	253
939	3899	248
940	3903	244
941	3906	240
942	3909	236
943	3913	232
944	3917	227
945	3920	223
946	3924	219
947	3928	215
948	3932	211
949	3935	207
950	3939	202
951	3942	198
952	3946	194
953	3950	190
954	3953	186
955	3957	182
956	3960	177
957	3964	173
958	3967	169
959	3970	165
960	3973	161
961	3976	157
962	3980	152
963	3983	148
964	3986	144
965	3990	140
966	3993	136
967	3996	132
968	4000	127
969	4002	123
970	4006	119
971	4009	115
972	4012	111
973	4015	107
974	4019	103
975	4022	98
976	4026	94
977	4029	90
978	4033	86
979	4036	82
980	4040	78
981	4043	74
982	4047	69
983	4050	65
984	4054	61
985	4058	57
986	4061	53
987	4065	49
988	4069	45
989	4072	41
990	4075	37
991	4079	32
992	4083	28
993	4086	24
994	4089	20
995	4092	16
996	4096	12
997	4100	8
998	4103	4
999	4107	0
